,,,,,,,24.48%,,,,,,,,,,,,,,11.45%,,70.05%,,,,,,
,Level Name,,GDDL Tier,,Level ID,,Rated,,Verify Date,,Difficulty,,,Placement,,Primary Source,,Points,,Main Skillset,,,Verification Link,,Placement on Verification,,,Year Verified,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,my backyard,,Tier 36,,116528569,,Challenge,,2025-03-25,,Extreme Demon,,,85,,Challenge,,"18,497.57",,,Ship Control,,"[VERIFIED, TOP 10] gg “my backyard” by zenmode (NEW HARDEST) | Geometry Dash",1,46,,,2025,1
,anodyne,,Tier 36,,105191372,,Challenge,,2025-08-27,,Extreme Demon,,,86,,Challenge,,"18,322.19",,,,,anodyne verification,1,64,,,2025,1
,Wocky Circles,,Tier 36,,100420930,,Unrated,,2025-09-15,,Extreme Demon,,,87,,EDI,,"18,148.46",,,Wave,,[VERIFIED] WOCKY CIRCLES 100% (kywy ver.) - YouTube,1,67,,,2025,1
,Bonus Level (CloverPhoenix),,Tier 36,,81287932,,Unrated,,2026-01-30,,Extreme Demon,,,88,,EDI,,"18,062.43",,,Wave,,BONUS LEVEL by CloverPhoenix VERIFIED (Extreme Demon) - YouTube,1,79,,,2026,
,Based after Based,,Tier 36,,110534288,,Featured,,2024-09-27,,Extreme Demon,,,89,,Global,,"17,976.39",,,Duals,,[VERIFIED] Based After Based | A Top 10 With No Spikes - YouTube,1,34,,,2024,1
,INTERCONNECTED,,Tier 36,,121310778,,Challenge,,2025-06-20,,Extreme Demon,,,90,,Challenge,,"17,805.95",,,Ship Control,,(TOP 5) INTERCONNECTED VERIFIED [TOP 1 SHIP] - YouTube,1,61,,,2025,1
,Silent poltergeist,,Tier 36,,13586257,,Unrated,,2025-01-29,,Extreme Demon,,,91,,THAL,,"17,637.12",,,High CPS,,(Verified!) Silent Poltergeist 100%! - YouTube,1,44,,,2025,1
,bosco busch,,Tier 36,,95259962,,Challenge,,2025-01-25,,Extreme Demon,,,92,,Challenge,,"17,470.69",,,,,[VERIFIED] bosco busch 100% (Top 5 Challenge) by jcak,1,44,,,2025,1
,EXPIRATION DATE,,Tier 36,,95357570,,Challenge,,2023-10-12,,Extreme Demon,,,93,,Challenge,,"17,304.25",,,,,EXPIRATION DATE VERIFIED [TOP 4 CHALLENGE] - YouTube,1,23,,,2023,1
,Justin Camp,,Tier 36,,119160569,,Unrated,,2025-07-21,,Extreme Demon,,,94,,THAL,,"17,140.18",,,,,[VERIFIED] Justin Camp (Swiborg) 100%,1,68,,,2025,1
,riverlasting,,Tier 36,,93056185,,Unrated,,2024-01-26,,Extreme Demon,,,95,,THAL,,"17,058.92",,,Consistency,,The hardest wave video in Geometry Dash. - YouTube,1,28,,,2024,1
,if FF was lvl 1,,Tier 36,,92787811,,Unrated,,2024-02-09,,Extreme Demon,,,96,,THAL,,"16,816.69",,,,,if FF was lvl 1 VERIFIED (New Hardest),1,29,,,2024,1
,CorroZ B,,Tier 36,,67044214,,Challenge,,2025-04-20,,Extreme Demon,,,97,,Challenge,,"16,657.25",,,Wave,,"[VERIFIED] ""CorroZ B"" by Exen // EXTREME CHALLENGE - YouTube",1,57,,,2025,1
